event_subject,event_subject_type,event_subject_id,relation_id
Gobierno,LegalEntity,argument0042,duty0570
acuerdo,LegalConcept,argument0135,duty0571
acuerdo,LegalConcept,argument0135,duty0572
los salarios de tramitación,LegalConcept,argument0617,duty0573
despido colectivo,LegalConcept,argument0375,duty0574
La apertura del periodo de consultas y las posiciones de las partes,LegalConcept,argument0047,duty0575
La oficina pública dependiente de la autoridad laboral,LegalEntity,argument0062,duty0576
La oficina pública dependiente de la autoridad laboral,LegalEntity,argument0062,duty0577
La oficina pública dependiente de la autoridad laboral,LegalEntity,argument0062,duty0578
Fondo,LegalEntity,argument0040,duty0579
acuerdos,LegalConcept,argument0139,duty0580
acuerdos,LegalConcept,argument0139,duty0581
resultado de la votación,LegalConcept,argument0864,duty0582
trabajadores,LegalAgent,argument0933,duty0583
autoridad laboral,LegalEntity,argument0177,duty0584
decisión empresarial,LegalEntity,argument0339,duty0585
juez,LegalAgent,argument0558,duty0586
empresario,LegalAgent,argument0449,duty0587
comisión negociadora,LegalConcept,argument0226,duty0588
constitución del comité intercentros,LegalConcept,argument0269,duty0589
convenios colectivos,LegalConcept,argument0306,duty0590
se,LegalConcept,argument0885,duty0591
empresa,LegalAgent,argument0445,duty0592
empresario,LegalAgent,argument0449,duty0593
Quienes presten servicios en trabajos fijos-discontinuos y los trabajadores vinculados por contrato de duración determinada,LegalAgent,argument0102,duty0594
fiestas,LegalConcept,argument0501,duty0595
decisión extintiva,LegalConcept,argument0340,duty0596
concreción horaria y la determinación de los permisos y reducciones de jornada,LegalConcept,argument0257,duty0597
relaciones laborales de carácter especial,LegalConcept,argument0836,duty0598
autoridad laboral,LegalEntity,argument0177,duty0599
mesa electoral,LegalEntity,argument0643,duty0600
árbitros,LegalAgent,argument0999,duty0601
cedente y el cesionario,LegalEntity,argument0208,duty0602
contratación de trabajadores,LegalConcept,argument0277,duty0603
contrato de trabajo,LegalConcept,argument0286,duty0604
periodo,LegalConcept,argument0736,duty0605
periodo,LegalConcept,argument0736,duty0606
periodo,LegalConcept,argument0736,duty0607
contrato de trabajo,LegalConcept,argument0286,duty0608
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0609
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0610
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0611
mesa electoral,LegalEntity,argument0643,duty0612
empresarios,LegalAgent,argument0455,duty0613
importe,LegalConcept,argument0516,duty0614
periodo o periodos,LegalConcept,argument0742,duty0615
sistema de representación proporcional,LegalConcept,argument0896,duty0616
acuerdo,LegalConcept,argument0135,duty0617
contratista o subcontratista,LegalAgent,argument0280,duty0618
representantes de los trabajadores,LegalAgent,argument0850,duty0619
intervención como interlocutores,LegalConcept,argument0548,duty0620
candidato o candidatura,LegalAgent,argument0191,duty0621
derechos,LegalConcept,argument0365,duty0622
razones,LegalConcept,argument0808,duty0623
informes,LegalConcept,argument0536,duty0624
Fondo,LegalEntity,argument0040,duty0625
autoridad laboral,LegalEntity,argument0177,duty0626
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0627
oficina pública,LegalEntity,argument0700,duty0628
duración,LegalConcept,argument0410,duty0629
duración,LegalConcept,argument0410,duty0630
empresa,LegalAgent,argument0445,duty0631
empresa,LegalAgent,argument0445,duty0632
mesa,LegalEntity,argument0642,duty0633
empresario principal,LegalAgent,argument0450,duty0634
empresario principal,LegalAgent,argument0450,duty0635
trabajador,LegalAgent,argument0925,duty0636
empresa,LegalAgent,argument0445,duty0637
laudo arbitral,LegalConcept,argument0590,duty0638
contrato de trabajo,LegalConcept,argument0286,duty0639
reingreso,LegalConcept,argument0833,duty0640
contrato de trabajo,LegalConcept,argument0286,duty0641
trabajadores,LegalAgent,argument0933,duty0642
la duración del periodo de prueba,LegalConcept,argument0567,duty0643
Igual ampliación,LegalConcept,argument0044,duty0644
trabajador,LegalAgent,argument0925,duty0645
contrato de trabajo,LegalConcept,argument0286,duty0646
contratos de duración determinada,LegalConcept,argument0291,duty0647
infracciones,LegalConcept,argument0537,duty0648
dirección de la empresa,LegalEntity,argument0388,duty0649
dirección de la empresa,LegalEntity,argument0388,duty0650
tratamiento de la información facilitada,LegalConcept,argument0962,duty0651
empresa,LegalAgent,argument0445,duty0652
disposiciones reglamentarias,LegalEntity,argument0403,duty0653
empresa,LegalAgent,argument0445,duty0654
convenios colectivos,LegalConcept,argument0306,duty0655
En las empresas o centros de trabajo,LegalConcept,argument0034,duty0656
se,LegalConcept,argument0885,duty0657
se,LegalConcept,argument0885,duty0658
empresario,LegalAgent,argument0449,duty0659
regulación,LegalConcept,argument0831,duty0660
intervención,LegalConcept,argument0547,duty0661
elección,LegalConcept,argument0441,duty0662
miembros del comité de empresa y los delegados de personal,LegalEntity,argument0649,duty0663
incumplimiento de la obligación,LegalConcept,argument0525,duty0664
acuerdo,LegalConcept,argument0135,duty0665
contrato de relevo,LegalConcept,argument0285,duty0666
empresarios,LegalAgent,argument0455,duty0667
"apartados 4, 5, y 6 del artículo 48",LegalConcept,argument0154,duty0668
disposiciones legales y reglamentarias,LegalConcept,argument0402,duty0669
empresa,LegalAgent,argument0445,duty0670
Los expedientes de regulación de empleo,LegalConcept,argument0087,duty0671
La decisión sobre la modificación colectiva de las condiciones de trabajo,LegalConcept,argument0051,duty0672
trabajadores,LegalAgent,argument0933,duty0673
dicho escrito,LegalConcept,argument0384,duty0674
dicho escrito,LegalConcept,argument0384,duty0675
lista de electores,LegalConcept,argument0602,duty0676
Lo establecido en las letras anteriores,LegalConcept,argument0080,duty0677
mesa,LegalEntity,argument0642,duty0678
regulación,LegalConcept,argument0831,duty0679
persona trabajadora,LegalAgent,argument0751,duty0680
trabajador,LegalAgent,argument0925,duty0681
comité,LegalConcept,argument0230,duty0682
excedencia forzosa,LegalConcept,argument0484,duty0683
excedencia forzosa,LegalConcept,argument0484,duty0684
excedencia forzosa,LegalConcept,argument0484,duty0685
empresario,LegalAgent,argument0449,duty0686
empresario,LegalAgent,argument0449,duty0687
trabajadores,LegalAgent,argument0933,duty0688
empresario,LegalAgent,argument0449,duty0689
periodo de consultas,LegalConcept,argument0737,duty0690
laudo,LegalConcept,argument0589,duty0691
laudo,LegalConcept,argument0589,duty0692
"Los representantes de la Administración, así como los de las organizaciones sindicales y de las asociaciones empresariales",LegalEntity,argument0089,duty0693
La reducción de jornada contemplada en este apartado,LegalConcept,argument0064,duty0694
contrato de trabajo,LegalConcept,argument0286,duty0695
oficina,LegalEntity,argument0698,duty0696
oficina,LegalEntity,argument0698,duty0697
empresa,LegalAgent,argument0445,duty0698
empresa,LegalAgent,argument0445,duty0699
duración del permiso,LegalConcept,argument0414,duty0700
listas,LegalConcept,argument0603,duty0701
comisión representativa,LegalEntity,argument0228,duty0702
convocatoria,LegalConcept,argument0311,duty0703
original del acta,LegalConcept,argument0708,duty0704
original del acta,LegalConcept,argument0708,duty0705
convenios colectivos,LegalConcept,argument0306,duty0706
negociación colectiva,LegalConcept,argument0668,duty0707
electores de menor edad,LegalConcept,argument0443,duty0708
oficina pública,LegalEntity,argument0700,duty0709
comité de empresa,LegalEntity,argument0231,duty0710
Reglamentariamente,LegalConcept,argument0106,duty0711
traslado de trabajadores,LegalConcept,argument0960,duty0712
oficina pública,LegalEntity,argument0700,duty0713
suspensión del contrato,LegalConcept,argument0913,duty0714
persona trabajadora,LegalAgent,argument0751,duty0715
empresario,LegalAgent,argument0449,duty0716
contrato para la formación y el aprendizaje,LegalConcept,argument0289,duty0717
Lo previsto en el apartado anterior,LegalConcept,argument0081,duty0718
jornada de cada trabajador,LegalConcept,argument0553,duty0719
cedente y el cesionario,LegalEntity,argument0208,duty0720
negociación colectiva,LegalEntity,argument0668,duty0721
contratistas,LegalAgent,argument0281,duty0722
trabajadores,LegalAgent,argument0933,duty0723
promotores,LegalAgent,argument0789,duty0724
promotores,LegalAgent,argument0789,duty0725
Gobierno,LegalEntity,argument0042,duty0726
dirección de la empresa,LegalEntity,argument0388,duty0727
La regulación de las condiciones establecidas en un convenio de empresa,LegalConcept,argument0065,duty0728
Las empresas,LegalEntity,argument0069,duty0729
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0730
dicho escrito,LegalConcept,argument0384,duty0731
