event_mention,event_subject,event_subject_id,event_subject_type,event_object,event_object_id,event_object_type,event_complement,event_complement_id,event_trigger,event_trigger_id,relation_type,relation_id
"La compensación de las diferencias, por exceso o por defecto, entre la jornada realizada y la duración máxima de la jornada ordinaria de trabajo legal o pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al respecto, por acuerdo entre la empresa y los representantes de los trabajadores",compensación,argument0238,LegalConcept,,,,,,será exigible,trigger0617,Duty,duty0205
El contrato para la formación y el aprendizaje se regirá por las siguientes reglas Se podrá celebrar con trabajadores mayores de dieciséis y menores de veinticinco años que carezcan de la cualificación profesional reconocida por el sistema de formación profesional para el empleo o del sistema educativo requerida para concertar un contrato en prácticas,contrato para la formación y el aprendizaje,argument0289,LegalConcept,,,,,,se regirá,trigger0593,Duty,duty0206
"La duración Resultará de aplicación al descanso semanal lo dispuesto en el artículo 34.7 en cuanto a ampliaciones y reducciones, así como para la fijación de regímenes de descanso alternativos para actividades concretas",descanso semanal,argument0371,LegalConcept,,,,,,Resultará de aplicación,trigger0013,Duty,duty0207
"Las personas trabajadoras tendrán derecho a ausentarse del trabajo durante una hora en el caso de nacimiento prematuro de hijo o hija, o que, por cualquier causa, deban permanecer hospitalizados a continuación del parto",personas trabajadoras,argument0758,LegalAgent,,,,,,tendrán derecho a ausentarse,trigger0681,Right,right0089
"El convenio En dicho supuesto se aplicará, íntegramente, lo regulado en el nuevo convenio",convenio,argument0301,LegalConcept,,,,,,se aplicará,trigger0518,Duty,duty0208
"No obstante, esta revocación no podrá efectuarse durante la tramitación de un convenio colectivo, ni replantearse hasta transcurridos, por lo menos, seis meses",revocación,argument0871,LegalConcept,,,,,,no podrá efectuarse,trigger0310,NoRight,noright0042
La mesa electoral cumplirá las siguientes funciones Hará público entre los trabajadores el censo laboral con indicación de quiénes son electores,mesa electoral,argument0643,LegalEntity,,,,,,cumplirá,trigger0100,Duty,duty0209
"Atendiendo a las peculiaridades de cada actividad y a las características del puesto de trabajo, la negociación colectiva establecerá requisitos dirigidos a prevenir la utilización abusiva de contratos de duración determinada con distintos trabajadores para desempeñar el mismo puesto de trabajo cubierto anteriormente con contratos de ese carácter, con o sin solución de continuidad, incluidos los contratos de puesta a disposición realizados con empresas de trabajo temporal",negociación colectiva,argument0668,LegalEntity,requisitos,argument0855,LegalConcept,contratos de duración determinada,argument0291,establecerá,trigger0216,Duty,duty0210
"Atendiendo a las peculiaridades de cada actividad y a las características del puesto de trabajo, la negociación colectiva establecerá requisitos dirigidos a prevenir la utilización abusiva de contratos de duración determinada con distintos trabajadores para desempeñar el mismo puesto de trabajo cubierto anteriormente con contratos de ese carácter, con o sin solución de continuidad, incluidos los contratos de puesta a disposición realizados con empresas de trabajo temporal",negociación colectiva,argument0668,LegalEntity,requisitos,argument0855,LegalConcept,trabajadores,argument0933,establecerá,trigger0216,Duty,duty0211
"Atendiendo a las peculiaridades de cada actividad y a las características del puesto de trabajo, la negociación colectiva establecerá requisitos dirigidos a prevenir la utilización abusiva de contratos de duración determinada con distintos trabajadores para desempeñar el mismo puesto de trabajo cubierto anteriormente con contratos de ese carácter, con o sin solución de continuidad, incluidos los contratos de puesta a disposición realizados con empresas de trabajo temporal",negociación colectiva,argument0668,LegalEntity,requisitos,argument0855,LegalConcept,puesto de trabajo,argument0800,establecerá,trigger0216,Duty,duty0212
"El cedente vendrá obligado a facilitar la información mencionada en los apartados anteriores con la suficiente antelación, antes de la realización de la transmisión",cedente,argument0207,LegalAgent,,,,información mencionada,argument0532,vendrá obligado,trigger0709,Duty,duty0213
"El cedente vendrá obligado a facilitar la información mencionada en los apartados anteriores con la suficiente antelación, antes de la realización de la transmisión",cedente,argument0207,LegalAgent,,,,apartados anteriores,argument0155,vendrá obligado,trigger0709,Duty,duty0214
De las obligaciones de naturaleza salarial contraídas por los contratistas y subcontratistas con sus trabajadores responderá solidariamente durante el año siguiente a la finalización del encargo,contratistas y subcontratistas,argument0282,LegalEntity,trabajadores,argument0933,LegalAgent,obligaciones de naturaleza salarial,argument0692,responderá solidariamente,trigger0508,Duty,duty0215
"En los supuestos de suspensión por ejercicio de cargo público representativo o funciones sindicales de ámbito provincial o superior, el trabajador deberá reincorporarse en el plazo máximo de treinta días naturales a partir de la cesación en el cargo o función",trabajador,argument0925,LegalAgent,,,,,,deberá reincorporarse,trigger0141,Duty,duty0216
En este último supuesto la promoción deberá acompañarse de una comunicación fehaciente de dicha promoción de elecciones a los que hubieran realizado otra u otras con anterioridad,promoción,argument0788,LegalConcept,,,,comunicación fehaciente,argument0249,deberá acompañarse,trigger0111,Duty,duty0217
El contrato para la formación y el aprendizaje tendrá por objeto la cualificación profesional de los trabajadores en un régimen de alternancia de actividad laboral retribuida en una empresa con actividad formativa recibida en el marco del sistema de formación profesional para el empleo o del sistema educativo,contrato para la formación y el aprendizaje,argument0289,LegalConcept,cualificación profesional,argument0326,LegalConcept,,,tendrá por objeto,trigger0670,Duty,duty0218
La comisión negociadora estará integrada por un máximo de trece miembros en representación de cada una de las partes,comisión negociadora,argument0226,LegalConcept,,,,un máximo de trece miembros,argument0972,estará integrada,trigger0221,Duty,duty0219
"Si en el plazo de quince días desde la fecha de la última reunión celebrada en el periodo de consultas, el empresario no hubiera comunicado a los representantes de los trabajadores y a la autoridad laboral su decisión sobre la suspensión de contratos, se producirá la caducidad del procedimiento en los términos que reglamentariamente se establezcan",empresario,argument0449,LegalAgent,representantes de los trabajadores,argument0850,LegalAgent,su decisión sobre la suspensión de contratos,argument0902,no hubiera comunicado,trigger0304,NoRight,noright0043
"Si en el plazo de quince días desde la fecha de la última reunión celebrada en el periodo de consultas, el empresario no hubiera comunicado a los representantes de los trabajadores y a la autoridad laboral su decisión sobre la suspensión de contratos, se producirá la caducidad del procedimiento en los términos que reglamentariamente se establezcan",empresario,argument0449,LegalAgent,autoridad laboral,argument0177,LegalAgent,su decisión sobre la suspensión de contratos,argument0902,no hubiera comunicado,trigger0304,NoRight,noright0044
"El empresario que organice el trabajo en la empresa según un cierto ritmo deberá tener en cuenta el principio general de adaptación del trabajo a la persona, especialmente de cara a atenuar el trabajo monótono y repetitivo en función del tipo de actividad y de las exigencias en materia de seguridad y salud de los trabajadores",empresario,argument0449,LegalAgent,,,,,,organice,trigger0343,Duty,duty0220
"los términos En su ausencia, la empresa, ante la solicitud de adaptación de jornada, abrirá un proceso de negociación con la persona trabajadora durante un periodo máximo de treinta días",empresa,argument0445,LegalAgent,,,,,,abrirá,trigger0034,Duty,duty0221
"En tal caso, las normas electorales de este título se adaptarán a dicho número de colegios",normas electorales,argument0673,LegalConcept,,,,,,adaptarán,trigger0038,Duty,duty0222
"Se considera de carácter colectivo la modificación que, en un periodo de noventa días, afecte al menos a El diez por ciento del número de trabajadores de la empresa en aquellas que ocupen entre cien y trescientos trabajadores",modificación,argument0657,LegalConcept,,,,,,afecte,trigger0042,Duty,duty0223
"Por convenio colectivo se podrán determinar las actividades en las que puedan contratarse trabajadores eventuales, así como fijar criterios generales relativos a la adecuada relación entre el volumen de esta modalidad contractual y la plantilla total de la empresa",convenio colectivo,argument0302,LegalConcept,trabajadores eventuales,argument0943,LegalAgent,,,podrán determinar,trigger0426,Right,right0090
Las organizaciones empresariales que tengan la condición de más representativas con arreglo a esta disposición adicional gozarán de capacidad para obtener cesiones temporales del uso de inmuebles patrimoniales públicos en los términos que se establezcan legalmente,organizaciones empresariales,argument0705,LegalEntity,,,,cesiones temporales del uso de inmuebles patrimoniales públicos,argument0217,gozarán de capacidad para obtener,trigger0264,Privilege,privilege0045
"En el cumplimiento de la obligación de trabajar asumida en el contrato, el trabajador debe al empresario la diligencia y la colaboración en el trabajo que marquen las disposiciones legales, los convenios colectivos y las órdenes o instrucciones adoptadas por aquel en el ejercicio regular de sus facultades de dirección y, en su defecto, por los usos y costumbres",trabajador,argument0925,LegalAgent,empresario,argument0449,LegalEntity,,,debe,trigger0109,Duty,duty0224
El trabajador está obligado a seguir la formación y a realizar las prácticas,trabajador,argument0925,LegalAgent,,,,formación,argument0503,está obligado a seguir,trigger0242,Duty,duty0225
El trabajador está obligado a seguir la formación y a realizar las prácticas,trabajador,argument0925,LegalAgent,,,,prácticas,argument0797,está obligado a seguir,trigger0242,Duty,duty0226
"En otro caso, a una comisión representativa que se constituirá de acuerdo con las siguientes reglas Si alguno de los centros de trabajo afectados cuenta con representantes legales de los trabajadores y otros no, la comisión estará integrada únicamente por representantes legales de los trabajadores de los centros que cuenten con dichos representantes",comisión representativa,argument0228,LegalEntity,,,,,,constituirá,trigger0082,Duty,duty0227
"El empresario y el trabajador están, respectivamente, obligados a realizar las experiencias que constituyan el objeto de la prueba",empresario y el trabajador,argument0453,LegalEntity,,,,,,obligados a realizar,trigger0336,Duty,duty0228
"La falta de constitución de la comisión representativa no impedirá el inicio y transcurso del periodo de consultas, y su constitución con posterioridad al inicio del mismo no comportará, en ningún caso, la ampliación de su duración",falta de constitución de la comisión representativa,argument0494,LegalConcept,,,,,,no impedirá,trigger0305,NoRight,noright0045
"En los supuestos de adopción internacional, cuando sea necesario el desplazamiento previo de los progenitores al país de origen del adoptado, el periodo de suspensión previsto para cada caso en este apartado, podrá iniciarse hasta cuatro semanas antes de la resolución por la que se constituye la adopción",periodo de suspensión,argument0741,LegalConcept,,,,,,podrá iniciarse,trigger0389,Privilege,privilege0046
"Se entiende que concurren causas técnicas cuando se produzcan cambios, entre otros, en el ámbito de los medios o instrumentos de producción; causas organizativas cuando se produzcan cambios, entre otros, en el ámbito de los sistemas y métodos de trabajo del personal o en el modo de organizar la producción, y causas productivas cuando se produzcan cambios, entre otros, en la demanda de los productos o servicios que la empresa pretende colocar en el mercado",cambios,argument0190,LegalConcept,,,,ámbito de los medios o instrumentos de producción,argument0992,producir,trigger0464,Norelation,
"Se entiende que concurren causas técnicas cuando se produzcan cambios, entre otros, en el ámbito de los medios o instrumentos de producción; causas organizativas cuando se produzcan cambios, entre otros, en el ámbito de los sistemas y métodos de trabajo del personal o en el modo de organizar la producción, y causas productivas cuando se produzcan cambios, entre otros, en la demanda de los productos o servicios que la empresa pretende colocar en el mercado",cambios,argument0190,LegalConcept,,,,ámbito de los sistemas y métodos de trabajo del personal o en el modo de organizar la producción,argument0995,producir,trigger0464,Norelation,
"Se entiende que concurren causas técnicas cuando se produzcan cambios, entre otros, en el ámbito de los medios o instrumentos de producción; causas organizativas cuando se produzcan cambios, entre otros, en el ámbito de los sistemas y métodos de trabajo del personal o en el modo de organizar la producción, y causas productivas cuando se produzcan cambios, entre otros, en la demanda de los productos o servicios que la empresa pretende colocar en el mercado",cambios,argument0190,LegalConcept,,,,en la demanda de los productos o servicios que la empresa pretende colocar en el mercado,argument0466,producir,trigger0464,Norelation,
La autoridad laboral comunicará la decisión empresarial a la entidad gestora de la prestación por desempleo,autoridad laboral,argument0177,LegalEntity,entidad gestora,argument0468,LegalEntity,,,comunicar,trigger0064,Duty,duty0229
"De no observarse tal exigencia, el contrato se presumirá celebrado por tiempo indefinido y a jornada completa, salvo prueba en contrario que acredite su naturaleza temporal o el carácter a tiempo parcial de los servicios",contrato,argument0283,LegalConcept,,,,,,presumir,trigger0456,Norelation,
"En defecto de pacto, la empresa podrá distribuir de manera irregular a lo largo del año el diez por ciento de la jornada de trabajo",empresa,argument0445,LegalAgent,,,,,,distribuir,trigger0194,Privilege,privilege0047
"Sin perjuicio de las competencias legalmente atribuidas a la jurisdicción social, el conocimiento y resolución de las cuestiones derivadas de la aplicación e interpretación de los convenios colectivos corresponderá a la comisión paritaria de los mismos",conocimiento y resolución de las cuestiones derivadas de la aplicación e interpretación de los convenios colectivos,argument0267,LegalConcept,,,,,,corresponderá,trigger0097,Duty,duty0230
"En los casos de parto prematuro y en aquellos en que, por cualquier otra causa, el neonato deba permanecer hospitalizado a continuación del parto, el periodo de suspensión podrá computarse, a instancia de la madre biológica o del otro progenitor, a partir de la fecha del alta hospitalaria",periodo de suspensión,argument0741,LegalConcept,,,,,,podrá computarse,trigger0365,Privilege,privilege0048
La inobservancia de cualquiera de las reglas anteriores determinará la anulabilidad de la elección del candidato o candidatos afectados,inobservancia de cualquiera de las reglas anteriores,argument0539,LegalConcept,elección del candidato o candidatos afectados,argument0442,LegalConcept,,,determinará,trigger0187,NoRight,noright0046
"Será nulo el despido que tenga por móvil alguna de las causas de discriminación prohibidas en la Constitución o en la ley, o bien se produzca con violación de derechos fundamentales y libertades públicas del trabajador",despido,argument0374,LegalConcept,,,,,,Será nulo,trigger0022,NoRight,noright0047
"En ausencia de pacto al respecto, se entenderá que las horas extraordinarias realizadas deberán ser compensadas mediante descanso dentro de los cuatro meses siguientes a su realización",horas extraordinarias,argument0514,LegalConcept,,,,,,deberán ser compensadas,trigger0171,Duty,duty0231
"Salvo pacto en contrario, los convenios colectivos se prorrogarán de año en año si no mediara denuncia expresa de las partes",convenios colectivos,argument0306,LegalConcept,,,,,,se prorrogarán,trigger0590,Duty,duty0232
Los derechos y obligaciones concernientes a la relación laboral se regulan Por los usos y costumbres locales y profesionales,derechos y obligaciones,argument0368,LegalConcept,,,,,,se regulan,trigger0598,Duty,duty0233
"Sin perjuicio de la ejecutividad del traslado en el plazo de incorporación citado, el trabajador que, no habiendo optado por la extinción de su contrato, se muestre disconforme con la decisión empresarial podrá impugnarla ante la jurisdicción social",trabajador,argument0925,LegalAgent,,,,,,podrá impugnarla,trigger0387,Duty,duty0234
"Se entenderán nulos y sin efecto los preceptos reglamentarios, las cláusulas de los convenios colectivos, los pactos individuales y las decisiones unilaterales del empresario que den lugar en el empleo, así como en materia de retribuciones, jornada y demás condiciones de trabajo, a situaciones de discriminación directa o indirecta desfavorables por razón de edad o discapacidad o a situaciones de discriminación directa o indirecta por razón de sexo, origen, incluido el racial o étnico, estado civil, condición social, religión o convicciones, ideas políticas, orientación o condición sexual, adhesión o no a sindicatos y a sus acuerdos, vínculos de parentesco con personas pertenecientes a o relacionadas con la empresa y lengua dentro del Estado español","preceptos reglamentarios, cláusulas de los convenios colectivos, pactos individuales y decisiones unilaterales del empresario",argument0769,LegalConcept,,,,,,entenderán nulos y sin efecto,trigger0208,NoRight,noright0048
"La definición de los grupos profesionales se ajustará a criterios y sistemas que, basados en un análisis correlacional entre sesgos de género, puestos de trabajo, criterios de encuadramiento y retribuciones, tengan como objeto garantizar la ausencia de discriminación, tanto directa como indirecta, entre mujeres y hombres",definición de los grupos profesionales,argument0346,LegalConcept,,,,,,ajustará a criterios y sistemas,trigger0044,Duty,duty0235
Esta excepción no abarca aquellos datos que tengan relación con el volumen de empleo en la empresa,excepción,argument0485,LegalConcept,,,,,,no abarca,trigger0296,NoRight,noright0049
La interposición del conflicto paralizará la tramitación de las acciones individuales iniciadas hasta su resolución,interposición del conflicto,argument0545,LegalConcept,,,,,,paralizará,trigger0349,NoRight,noright0050
"El comité de empresa tendrá también las siguientes competencias Colaborar con la dirección de la empresa para conseguir el establecimiento de cuantas medidas procuren el mantenimiento y el incremento de la productividad, así como la sostenibilidad ambiental de la empresa, si así está pactado en los convenios colectivos",comité de empresa,argument0231,LegalEntity,,,,,,Colaborar,trigger0001,Duty,duty0236
El contrato de trabajo podrá suspenderse por las siguientes causas Ejercicio del derecho de huelga,contrato de trabajo,argument0286,LegalConcept,,,,,,suspenderse,trigger0649,Duty,duty0237
"En dicho escrito se consignarán los siguientes extremos Representantes de los trabajadores que integrarán la comisión negociadora o, en su caso, indicación de la falta de constitución de esta en los plazos legales",escrito,argument0472,LegalConcept,,,,,,consignarán,trigger0079,Duty,duty0238
Las resoluciones de la comisión paritaria sobre interpretación o aplicación del convenio tendrán la misma eficacia jurídica y tramitación que los convenios colectivos regulados en esta ley,resoluciones de la comisión paritaria,argument0859,LegalConcept,,,,,,tendrán,trigger0676,Duty,duty0239
"El contrato de trabajo se extinguirá Por despido colectivo fundado en causas económicas, técnicas, organizativas o de producción",contrato de trabajo,argument0286,LegalConcept,,,,,,se extinguirá,trigger0561,NoRight,noright0051
"Asimismo, podrán también estar representadas las asociaciones empresariales de comunidad autónoma que cuenten en esta con un mínimo del quince por ciento de los empresarios y trabajadores",asociaciones empresariales de comunidad autónoma,argument0171,LegalEntity,,,,,,estar representadas,trigger0218,NoRight,noright0052
"De no haber representantes legales de los trabajadores, el cedente y el cesionario deberán facilitar la información mencionada en el apartado anterior a los trabajadores que pudieren resultar afectados por la transmisión",cedente y el cesionario,argument0208,LegalEntity,trabajadores,argument0933,LegalAgent,información mencionada en el apartado anterior,argument0533,deberán facilitar,trigger0160,Duty,duty0240
"Para hacer efectivo su derecho de protección a la salud, los trabajadores con discapacidad que acrediten la necesidad de recibir fuera de su localidad un tratamiento de habilitación o rehabilitación médico-funcional o atención, tratamiento u orientación psicológica relacionado con su discapacidad, tendrán derecho preferente a ocupar otro puesto de trabajo, del mismo grupo profesional, que la empresa tuviera vacante en otro de sus centros de trabajo en una localidad en que sea más accesible dicho tratamiento, en los términos y condiciones establecidos en el apartado anterior para las trabajadoras víctimas de violencia de género y para las víctimas del terrorismo",trabajadores con discapacidad,argument0940,LegalAgent,,,,,,tendrán derecho preferente a ocupar,trigger0686,Right,right0091
"Estas cláusulas podrán igualmente pactarse en convenios o acuerdos colectivos sectoriales, de ámbito estatal o autonómico, por aquellos sindicatos y asociaciones empresariales que cuenten con la legitimación necesaria, de conformidad con lo establecido en esta ley",cláusulas,argument0221,LegalConcept,,,,,,pactarse,trigger0347,Privilege,privilege0049
"Podrá concertarse por escrito un periodo de prueba, con sujeción a los límites de duración que, en su caso, se establezcan en los convenios colectivos",periodo de prueba,argument0739,LegalConcept,,,,,,concertarse,trigger0068,Privilege,privilege0050
"Se excluyen del ámbito regulado por esta ley En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.",trabajo,argument0949,LegalConcept,,,,,,excluyen,trigger0244,NoRight,noright0053
El despido se considerará procedente cuando quede acreditado el incumplimiento alegado por el empresario en su escrito de comunicación,despido,argument0374,LegalConcept,,,,,,considerará,trigger0075,Right,right0092
"Los conflictos originados entre los preceptos de dos o más normas laborales, tanto estatales como pactadas, que deberán respetar en todo caso los mínimos de derecho necesario, se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables",conflictos,argument0265,LegalConcept,,,,,,resolverán,trigger0505,Right,right0093
"Cuando la opción, expresa o presunta, sea en favor de la readmisión, esta será obligada",opción,argument0702,LegalConcept,,,,,,será,trigger0610,Duty,duty0241
"El trabajador, en función del trabajo desarrollado, podrá tener derecho a una promoción económica en los términos fijados en convenio colectivo o contrato individual",trabajador,argument0925,LegalAgent,,,,,,podrá tener,trigger0420,Right,right0094
"Se entenderá por grupo profesional el que agrupe unitariamente las aptitudes profesionales, titulaciones y contenido general de la prestación, y podrá incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador",grupo profesional,argument0507,LegalConcept,,,,,,entenderá,trigger0204,NoRelation,
"la comisión En el supuesto de que uno o varios centros de trabajo afectados por el procedimiento que no cuenten con representantes legales de los trabajadores opten por no designar la comisión de la letra a), se asignará su representación a los representantes legales de los trabajadores de los centros de trabajo afectados que cuenten con ellos, en proporción al número de trabajadores que representen",comisión,argument0224,LegalConcept,,,,,,asignará,trigger0049,Duty,duty0242
La Administración laboral facilitará la utilización de sus medios personales y materiales por los árbitros en la medida necesaria para que estos desarrollen sus funciones,Administración laboral,argument0001,LegalEntity,árbitros,argument0999,LegalAgent,,,facilitará,trigger0255,Duty,duty0243
"Se consideran horas complementarias las realizadas como adición a las horas ordinarias pactadas en el contrato a tiempo parcial, conforme a las siguientes reglas El pacto de horas complementarias podrá quedar sin efecto por renuncia del trabajador, mediante un preaviso de quince días, una vez cumplido un año desde su celebración, cuando concurra alguna de las siguientes circunstancias Necesidades formativas, siempre que se acredite la incompatibilidad horaria",,,,,,,,,,,Norelation,
"Se excluyen del ámbito regulado por esta ley La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma",,,,,,,,,,,Norelation,
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,procedimientos de despidos colectivos,argument0781,existirá la obligación de abonar,trigger0248,Duty,duty0244
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,procedimiento concursal,argument0778,existirá la obligación de abonar,trigger0248,Duty,duty0245
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,cincuenta y cinco o más años de edad,argument0220,existirá la obligación de abonar,trigger0248,Duty,duty0246
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,condición de mutualistas el 1 de enero de 1967,argument0263,existirá la obligación de abonar,trigger0248,Duty,duty0247
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,cuotas destinadas a la financiación de un convenio especial,argument0332,existirá la obligación de abonar,trigger0248,Duty,duty0248
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,trabajadores anteriormente señalados,argument0936,existirá la obligación de abonar,trigger0248,Duty,duty0249
"Cuando se trate de procedimientos de despidos colectivos de empresas no incursas en procedimiento concursal, que incluyan trabajadores con cincuenta y cinco o más años de edad que no tuvieren la condición de mutualistas el 1 de enero de 1967, existirá la obligación de abonar las cuotas destinadas a la financiación de un convenio especial respecto de los trabajadores anteriormente señalados en los términos previstos en el texto refundido de la Ley General de la Seguridad Social",empresas,argument0456,LegalEntity,trabajadores,argument0933,LegalAgent,términos previstos en el texto refundido de la Ley General de la Seguridad Social,argument0967,existirá la obligación de abonar,trigger0248,Duty,duty0250
La valoración de las faltas y las correspondientes sanciones impuestas por la dirección de la empresa serán siempre revisables ante la jurisdicción social,valoración de las faltas y las correspondientes sanciones,argument0986,LegalConcept,,,,dirección de la empresa,argument0388,serán siempre revisables,trigger0638,Right,right0095
"En la relación de trabajo, los trabajadores tienen derecho A la percepción puntual de la remuneración pactada o legalmente establecida",trabajadores,argument0933,LegalAgent,,,,relación de trabajo,argument0838,tienen derecho,trigger0697,Right,right0096
"En la relación de trabajo, los trabajadores tienen derecho A la percepción puntual de la remuneración pactada o legalmente establecida",trabajadores,argument0933,LegalAgent,,,,percepción puntual de la remuneración pactada o legalmente establecida,argument0735,tienen derecho,trigger0697,Right,right0097
"La situación de excedencia podrá extenderse a otros supuestos colectivamente acordados, con el régimen y los efectos que allí se prevean",situación de excedencia,argument0898,LegalConcept,,,,otros supuestos colectivamente acordados,argument0717,podrá extenderse,trigger0381,Privilege,privilege0051
"La situación de excedencia podrá extenderse a otros supuestos colectivamente acordados, con el régimen y los efectos que allí se prevean",situación de excedencia,argument0898,LegalConcept,,,,régimen y los efectos que allí se prevean,argument0877,podrá extenderse,trigger0381,Privilege,privilege0052
La representación legal de los trabajadores de las empresas contratistas y subcontratistas que compartan de forma continuada centro de trabajo podrán hacer uso de dichos locales en los términos que acuerden con la empresa,representación legal,argument0846,LegalEntity,trabajadores,argument0933,LegalAgent,locales,argument0606,hacer uso,trigger0275,Right,right0098
"Asimismo, y a los efectos que procedan, la oficina pública dependiente de la autoridad laboral podrá extender certificaciones de los resultados electorales a las organizaciones sindicales que las soliciten",oficina pública,argument0700,LegalEntity,organizaciones sindicales,argument0706,LegalEntity,certificaciones de los resultados electorales,argument0213,podrá extender,trigger0380,Right,right0099
"De conformidad con lo dispuesto en el artículo 4, los trabajadores de una misma empresa o centro de trabajo tienen derecho a reunirse en asamblea",trabajadores,argument0933,LegalAgent,,,,,,tienen derecho,trigger0697,Right,right0100
"La calificación por la autoridad judicial de la nulidad, procedencia o improcedencia de la decisión extintiva producirá iguales efectos que los indicados para el despido disciplinario, con las siguientes modificaciones En caso de procedencia, el trabajador tendrá derecho a la indemnización prevista en el apartado 1, consolidándola de haberla recibido, y se entenderá en situación de desempleo por causa a él no imputable",calificación,argument0186,LegalConcept,trabajador,argument0925,LegalAgent,efectos,argument0417,producirá,trigger0465,Right,right0101
"Con carácter general, las solicitudes a que se refiere el párrafo anterior deberán ser tomadas en consideración, en la medida de lo posible, por el empresario",empresario,argument0449,LegalAgent,,,,,,deberán ser tomadas en consideración,trigger0176,Duty,duty0251
"El número de miembros del comité de empresa se determinará de acuerdo con la siguiente escala De doscientos cincuenta y uno a quinientos trabajadores, trece",comité de empresa,argument0231,LegalEntity,,,,,,se determinará,trigger0543,Duty,duty0252
"El empresario y la representación de los trabajadores podrán acordar en cualquier momento la sustitución del periodo de consultas por el procedimiento de mediación o arbitraje que sea de aplicación en el ámbito de la empresa, que deberá desarrollarse dentro del plazo máximo señalado para dicho periodo",empresario y la representación de los trabajadores,argument0454,LegalEntity,,,,,,podrán acordar,trigger0424,Privilege,privilege0053
"El empresario deberá garantizar que los trabajadores nocturnos que ocupe dispongan de una evaluación gratuita de su estado de salud, antes de su afectación a un trabajo nocturno y, posteriormente, a intervalos regulares, en los términos establecidos en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y en sus normas de desarrollo",empresario,argument0449,LegalAgent,,,,,,deberá garantizar,trigger0126,Duty,duty0253
"Continuarán siendo de aplicación a los contratos celebrados antes de la entrada en vigor de esta ley las normas específicas aplicables a cada una de las modalidades contractuales que estuvieran vigentes en el momento en que dichos contratos se concertaron, salvo que otra cosa se hubiera establecido legalmente",normas específicas,argument0674,LegalConcept,,,,contratos,argument0290,Continuarán siendo de aplicación,trigger0003,Duty,duty0254
Los representantes de los trabajadores tendrán prioridad de permanencia en la empresa en el supuesto al que se refiere este apartado,representantes de los trabajadores,argument0850,LegalAgent,,,,,,tendrán prioridad de permanencia,trigger0688,Duty,duty0255
