event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id
empresario,pago delegado de las prestaciones de la Seguridad Social,moneda de curso legal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0659,trigger0375
empresario,pago delegado de las prestaciones de la Seguridad Social,cheque,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0218,trigger0375
empresario,pago delegado de las prestaciones de la Seguridad Social,modalidad de pago similar,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0652,trigger0375
empresario,pago delegado de las prestaciones de la Seguridad Social,entidades de crédito,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0469,trigger0375
empresario,pago delegado de las prestaciones de la Seguridad Social,informe al comité de empresa,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0535,trigger0375
empresario,pago delegado de las prestaciones de la Seguridad Social,delegados de personal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0348,trigger0375
convenios,,,deberán ser presentados,LegalConcept,,argument0305,,,trigger0174
despido,,,surtirá efectos,LegalConcept,,argument0374,,,trigger0648
consulta,,,deberá permitir,LegalConcept,,argument0271,,,trigger0135
mesa,,,resolverá,LegalEntity,,argument0642,,,trigger0504
comunidades autónomas,,,podrán señalar,LegalEntity,,argument0252,,,trigger0444
ley,trabajadores,,será de aplicación,LegalConcept,LegalAgent,argument0593,argument0933,,trigger0614
,,,,,,,,,
empresa,,,realice traslados,LegalAgent,,argument0445,,,trigger0485
"La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos",,,considerarán,LegalConcept,,argument0050,,,trigger0078
la duración del contrato de relevo que podrá celebrar la empresa para sustituir la parte de jornada dejada vacante por el mismo,,,podrá ser,LegalConcept,,argument0566,,,trigger0407
La documentación del salario,,,realizará,LegalConcept,,argument0054,,,trigger0490
el trabajador,,,conservará,LegalAgent,,argument0436,,,trigger0072
asociaciones empresariales,,,gozan de,LegalEntity,,argument0170,,,trigger0262
ley,,,dicta,LegalConcept,,argument0593,,,trigger0188
comité de empresa,,,tendrá derecho a ser informado y consultado,LegalEntity,,argument0231,,,trigger0663
convenios colectivos,,,obligan a,LegalConcept,,argument0306,,,trigger0337
convenio colectivo,,,establecerse,LegalConcept,,argument0302,,,trigger0215
disposición transitoria séptima,,,,LegalConcept,,argument0405,,,
denegación del registro,,comunicación de la promoción electoral,deba,LegalConcept,,argument0356,,argument0247,trigger0108
"empresas principal, contratista o subcontratista",,libro registro,deberá disponer,LegalEntity,,argument0459,,argument0597,trigger0119
Los trabajos familiares,,,excluyen,LegalConcept,,argument0093,,,trigger0244
el Fondo de Garantía Salarial,la institución de garantía del Estado,,estará obligado a proporcionar,LegalEntity,LegalEntity,argument0424,argument0569,,trigger0225
se,,,aplicarán,LegalConcept,,argument0885,,,trigger0046
Dicha información,,,deberá facilitarse,LegalConcept,,argument0011,,,trigger0123
empresa,,,prescribirán,LegalAgent,,argument0445,,,trigger0451
asamblea,,,convocada,LegalConcept,,argument0167,,,trigger0093
contrato de trabajo en prácticas,,,podrá concertarse,LegalConcept,,argument0287,,,trigger0367
,,,,,,,,,
personal laboral fijo,,,Tendrá prioridad de permanencia,LegalAgent,,argument0754,,,trigger0027
Los extranjeros,,,Podrán contratar,LegalAgent,,argument0088,,,trigger0009
empresa,,,deberá informar,LegalAgent,,argument0445,,,trigger0128
comité de empresa,,,tendrá derecho a emitir informe,LegalEntity,,argument0231,,,trigger0657
árbitro,,,convocará,LegalAgent,,argument0997,,,trigger0094
cedente y el cesionario,,,deberán informar,LegalEntity,,argument0208,,,trigger0163
traslado,,,deberá ir precedido,LegalConcept,,argument0959,,,trigger0132
convenios colectivos,,,podrán establecer,LegalEntity,,argument0306,,,trigger0431
trabajador,,,desempeñada,LegalAgent,,argument0925,,,trigger0183
empresario,trabajadores,,deberá establecer,LegalAgent,LegalAgent,argument0449,argument0933,,trigger0120
representantes,,,elegirán,LegalAgent,,argument0849,,,trigger0202
empresa,,,ajustarán,LegalAgent,,argument0445,,,trigger0045
El trabajador y sus representantes legales,,comunicaciones,pueden pedir,LegalAgent,,argument0031,,argument0244,trigger0476
El trabajador y sus representantes legales,,parte,pueden pedir,LegalAgent,,argument0031,,argument0724,trigger0476
El trabajador y sus representantes legales,,libros,pueden pedir,LegalAgent,,argument0031,,argument0598,trigger0476
El trabajador y sus representantes legales,,tales devengos,pueden pedir,LegalAgent,,argument0031,,argument0918,trigger0476
las personas trabajadoras,,una hora de ausencia del trabajo,tendrán derecho,LegalAgent,,argument0585,,argument0978,trigger0677
las personas trabajadoras,,dos fracciones,tendrán derecho,LegalAgent,,argument0585,,argument0409,trigger0677
las personas trabajadoras,,cuidado del lactante,tendrán derecho,LegalAgent,,argument0585,,argument0330,trigger0677
las personas trabajadoras,,nueve meses,tendrán derecho,LegalAgent,,argument0585,,argument0676,trigger0677
El contrato de trabajo,,causas objetivas legalmente procedentes,se extinguirá,LegalConcept,,argument0024,,argument0206,trigger0561
El trabajador,,trabajo convenido,estará obligado a realizar,LegalAgent,,argument0030,,argument0951,trigger0226
El trabajador,,dirección del empresario,estará obligado a realizar,LegalAgent,,argument0030,,argument0389,trigger0226
El trabajador,,persona en quien este delegue,estará obligado a realizar,LegalAgent,,argument0030,,argument0750,trigger0226
empresa,trabajadores,elecciones,dará traslado,LegalAgent,LegalAgent,argument0445,argument0933,argument0437,trigger0106
empresa,representantes de los trabajadores,elecciones,dará traslado,LegalAgent,LegalAgent,argument0445,argument0850,argument0437,trigger0106
comisión negociadora,partes,acta de la sesión constitutiva de la comisión,deberán consignar,LegalEntity,LegalAgent,argument0226,argument0728,argument0130,trigger0154
empresario,"trabajadores de la empresa con contratos de duración determinada o temporales, incluidos los contratos formativos",existencia de puestos de trabajo vacantes,deberá informar,LegalAgent,LegalAgent,argument0449,argument0942,argument0488,trigger0128
empresario,trabajador,salarios devengados en los días intermedios,pondrá a disposición,LegalAgent,LegalAgent,argument0449,argument0925,argument0882,trigger0449
representantes legales,trabajadores,centro de trabajo,reunirse,LegalAgent,LegalAgent,argument0852,argument0933,argument0211,trigger0513
representantes legales,trabajadores,condiciones de ejecución de la actividad laboral,reunirse,LegalAgent,LegalAgent,argument0852,argument0933,argument0260,trigger0513
representantes legales,empresa principal,centro de trabajo,reunirse,LegalAgent,LegalAgent,argument0852,argument0447,argument0211,trigger0513
representantes legales,empresa principal,condiciones de ejecución de la actividad laboral,reunirse,LegalAgent,LegalAgent,argument0852,argument0447,argument0260,trigger0513
representantes legales,empresas contratistas,centro de trabajo,reunirse,LegalAgent,LegalAgent,argument0852,argument0457,argument0211,trigger0513
representantes legales,empresas contratistas,condiciones de ejecución de la actividad laboral,reunirse,LegalAgent,LegalAgent,argument0852,argument0457,argument0260,trigger0513
representantes legales,subcontratistas,centro de trabajo,reunirse,LegalAgent,LegalAgent,argument0852,argument0904,argument0211,trigger0513
representantes legales,subcontratistas,condiciones de ejecución de la actividad laboral,reunirse,LegalAgent,LegalAgent,argument0852,argument0904,argument0260,trigger0513
trabajador,,certificado de los contratos de duración determinada o temporales celebrados,solicitar,LegalAgent,,argument0925,,argument0214,trigger0640
Gobierno,subvenciones,empleo de grupos específicos de trabajadores que encuentren dificultades especiales para acceder al empleo,otorgar,LegalEntity,LegalConcept,argument0042,argument0905,argument0444,trigger0346
Gobierno,desgravaciones,empleo de grupos específicos de trabajadores que encuentren dificultades especiales para acceder al empleo,otorgar,LegalEntity,LegalConcept,argument0042,argument0372,argument0444,trigger0346
Gobierno,otras medidas,empleo de grupos específicos de trabajadores que encuentren dificultades especiales para acceder al empleo,otorgar,LegalEntity,LegalConcept,argument0042,argument0711,argument0444,trigger0346
trabajadores,,número de firmas de electores de su mismo centro y colegio,presentarse,LegalAgent,,argument0933,,argument0681,trigger0453
convenios colectivos,trabajadores,,establecerán medidas,LegalEntity,LegalAgent,argument0306,argument0933,,trigger0217
negociación colectiva,,estructura del salario,se determinará,LegalEntity,,argument0668,,argument0482,trigger0543
Fondo de Garantía Salarial,derechos y acciones de los trabajadores,,se subrogará,LegalEntity,LegalAgent,argument0041,argument0367,,trigger0603
,,,,,,,,,
legitimación,,,será,LegalConcept,,argument0592,,,trigger0610
,,,,,,,,,
contrato de relevo,,,podrá prorrogarse,LegalConcept,,argument0285,,,trigger0396
Fondo de Garantía Salarial,institución de garantía competente,,prestará,LegalEntity,LegalEntity,argument0041,argument0543,,trigger0455
proclamación de candidatos,,,mediarán,LegalConcept,,argument0785,,,trigger0293
expedientes de regulación de empleo,,,se regirán,LegalConcept,,argument0489,,,trigger0595
contrato de trabajo en prácticas,,,podrá concertarse,LegalConcept,,argument0287,,,trigger0367
concurrencia de promotores,,,se considerará válida,LegalConcept,,argument0258,,,trigger0532
La indisciplina o desobediencia en el trabajo,,,Se considerarán incumplimientos contractuales,LegalConcept,,argument0058,,,trigger0019
La presidencia,,,comunicará,LegalAgent,,argument0063,,,trigger0066
No podrá efectuarse la prestación laboral de un trabajador para diversos empresarios,,,,LegalConcept,,argument0095,,,
Los trabajadores,,,podrán ser sancionados,LegalAgent,,argument0091,,,trigger0443
trabajadores,contratista,escrito,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0472,trigger0172
trabajadores,contratista,empresario,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0449,trigger0172
trabajadores,contratista,identidad,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0515,trigger0172
trabajadores,contratista,empresa principal,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0279,argument0447,trigger0172
trabajadores,subcontratista,escrito,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0472,trigger0172
trabajadores,subcontratista,empresario,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0449,trigger0172
trabajadores,subcontratista,identidad,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0515,trigger0172
trabajadores,subcontratista,empresa principal,deberán ser informados,LegalAgent,LegalEntity,argument0933,argument0903,argument0447,trigger0172
contrato,,duración,podrá prorrogarse,LegalConcept,,argument0283,,argument0410,trigger0396
contrato,,máxima legal,podrá prorrogarse,LegalConcept,,argument0283,,argument0662,trigger0396
contrato,,convencionalmente establecida,podrá prorrogarse,LegalConcept,,argument0283,,argument0300,trigger0396
contrato,,acuerdo,podrá prorrogarse,LegalConcept,,argument0283,,argument0135,trigger0396
contrato,,partes,podrá prorrogarse,LegalConcept,,argument0283,,argument0728,trigger0396
contrato,,prórroga,podrá prorrogarse,LegalConcept,,argument0283,,argument0798,trigger0396
contrato,,meses,podrá prorrogarse,LegalConcept,,argument0283,,argument0645,trigger0396
contrato,,duración total,podrá prorrogarse,LegalConcept,,argument0283,,argument0416,trigger0396
situaciones,,incapacidad temporal,no interrumpirán,LegalConcept,,argument0897,,argument0521,trigger0306
situaciones,,riesgo durante el embarazo,no interrumpirán,LegalConcept,,argument0897,,argument0872,trigger0306
situaciones,,maternidad,no interrumpirán,LegalConcept,,argument0897,,argument0629,trigger0306
situaciones,,adopción,no interrumpirán,LegalConcept,,argument0897,,argument0144,trigger0306
situaciones,,guarda con fines de adopción,no interrumpirán,LegalConcept,,argument0897,,argument0509,trigger0306
situaciones,,acogimiento,no interrumpirán,LegalConcept,,argument0897,,argument0124,trigger0306
situaciones,,riesgo durante la lactancia,no interrumpirán,LegalConcept,,argument0897,,argument0873,trigger0306
situaciones,,paternidad,no interrumpirán,LegalConcept,,argument0897,,argument0732,trigger0306
situaciones,,cómputo,no interrumpirán,LegalConcept,,argument0897,,argument0333,trigger0306
situaciones,,duración,no interrumpirán,LegalConcept,,argument0897,,argument0410,trigger0306
situaciones,,contrato,no interrumpirán,LegalConcept,,argument0897,,argument0283,trigger0306
despido,,inobservando,podrá realizar,LegalConcept,,argument0374,,argument0540,trigger0397
despido,,establecido,podrá realizar,LegalConcept,,argument0374,,argument0476,trigger0397
despido,,apartado anterior,podrá realizar,LegalConcept,,argument0374,,argument0153,trigger0397
despido,,empresario,podrá realizar,LegalConcept,,argument0374,,argument0449,trigger0397
despido,,nuevo despido,podrá realizar,LegalConcept,,argument0374,,argument0678,trigger0397
despido,,requisitos,podrá realizar,LegalConcept,,argument0374,,argument0855,trigger0397
despido,,omitidos,podrá realizar,LegalConcept,,argument0374,,argument0701,trigger0397
despido,,precedente,podrá realizar,LegalConcept,,argument0374,,argument0768,trigger0397
salarios profesionales,,,no afectará,LegalEntity,,argument0883,,,trigger0297
compensación,,,será exigible,LegalConcept,,argument0238,,,trigger0617
contrato para la formación y el aprendizaje,,,se regirá,LegalConcept,,argument0289,,,trigger0593
descanso semanal,,,Resultará de aplicación,LegalConcept,,argument0371,,,trigger0013
personas trabajadoras,,,tendrán derecho a ausentarse,LegalAgent,,argument0758,,,trigger0681
convenio,,,se aplicará,LegalConcept,,argument0301,,,trigger0518
revocación,,,no podrá efectuarse,LegalConcept,,argument0871,,,trigger0310
mesa electoral,,,cumplirá,LegalEntity,,argument0643,,,trigger0100
negociación colectiva,requisitos,contratos de duración determinada,establecerá,LegalEntity,LegalConcept,argument0668,argument0855,argument0291,trigger0216
negociación colectiva,requisitos,trabajadores,establecerá,LegalEntity,LegalConcept,argument0668,argument0855,argument0933,trigger0216
negociación colectiva,requisitos,puesto de trabajo,establecerá,LegalEntity,LegalConcept,argument0668,argument0855,argument0800,trigger0216
cedente,,información mencionada,vendrá obligado,LegalAgent,,argument0207,,argument0532,trigger0709
cedente,,apartados anteriores,vendrá obligado,LegalAgent,,argument0207,,argument0155,trigger0709
contratistas y subcontratistas,trabajadores,obligaciones de naturaleza salarial,responderá solidariamente,LegalEntity,LegalAgent,argument0282,argument0933,argument0692,trigger0508
trabajador,,,deberá reincorporarse,LegalAgent,,argument0925,,,trigger0141
promoción,,comunicación fehaciente,deberá acompañarse,LegalConcept,,argument0788,,argument0249,trigger0111
contrato para la formación y el aprendizaje,cualificación profesional,,tendrá por objeto,LegalConcept,LegalConcept,argument0289,argument0326,,trigger0670
comisión negociadora,,un máximo de trece miembros,estará integrada,LegalConcept,,argument0226,,argument0972,trigger0221
empresario,representantes de los trabajadores,su decisión sobre la suspensión de contratos,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0902,trigger0304
empresario,autoridad laboral,su decisión sobre la suspensión de contratos,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0902,trigger0304
empresario,,,organice,LegalAgent,,argument0449,,,trigger0343
empresa,,,abrirá,LegalAgent,,argument0445,,,trigger0034
normas electorales,,,adaptarán,LegalConcept,,argument0673,,,trigger0038
modificación,,,afecte,LegalConcept,,argument0657,,,trigger0042
convenio colectivo,trabajadores eventuales,,podrán determinar,LegalConcept,LegalAgent,argument0302,argument0943,,trigger0426
organizaciones empresariales,,cesiones temporales del uso de inmuebles patrimoniales públicos,gozarán de capacidad para obtener,LegalEntity,,argument0705,,argument0217,trigger0264
trabajador,empresario,,debe,LegalAgent,LegalEntity,argument0925,argument0449,,trigger0109
trabajador,,formación,está obligado a seguir,LegalAgent,,argument0925,,argument0503,trigger0242
trabajador,,prácticas,está obligado a seguir,LegalAgent,,argument0925,,argument0797,trigger0242
comisión representativa,,,constituirá,LegalEntity,,argument0228,,,trigger0082
empresario y el trabajador,,,obligados a realizar,LegalEntity,,argument0453,,,trigger0336
falta de constitución de la comisión representativa,,,no impedirá,LegalConcept,,argument0494,,,trigger0305
periodo de suspensión,,,podrá iniciarse,LegalConcept,,argument0741,,,trigger0389
cambios,,ámbito de los medios o instrumentos de producción,producir,LegalConcept,,argument0190,,argument0992,trigger0464
cambios,,ámbito de los sistemas y métodos de trabajo del personal o en el modo de organizar la producción,producir,LegalConcept,,argument0190,,argument0995,trigger0464
cambios,,en la demanda de los productos o servicios que la empresa pretende colocar en el mercado,producir,LegalConcept,,argument0190,,argument0466,trigger0464
autoridad laboral,entidad gestora,,comunicar,LegalEntity,LegalEntity,argument0177,argument0468,,trigger0064
contrato,,,presumir,LegalConcept,,argument0283,,,trigger0456
empresa,,,distribuir,LegalAgent,,argument0445,,,trigger0194
conocimiento y resolución de las cuestiones derivadas de la aplicación e interpretación de los convenios colectivos,,,corresponderá,LegalConcept,,argument0267,,,trigger0097
periodo de suspensión,,,podrá computarse,LegalConcept,,argument0741,,,trigger0365
inobservancia de cualquiera de las reglas anteriores,elección del candidato o candidatos afectados,,determinará,LegalConcept,LegalConcept,argument0539,argument0442,,trigger0187
despido,,,Será nulo,LegalConcept,,argument0374,,,trigger0022
horas extraordinarias,,,deberán ser compensadas,LegalConcept,,argument0514,,,trigger0171
convenios colectivos,,,se prorrogarán,LegalConcept,,argument0306,,,trigger0590
derechos y obligaciones,,,se regulan,LegalConcept,,argument0368,,,trigger0598
trabajador,,,podrá impugnarla,LegalAgent,,argument0925,,,trigger0387
"preceptos reglamentarios, cláusulas de los convenios colectivos, pactos individuales y decisiones unilaterales del empresario",,,entenderán nulos y sin efecto,LegalConcept,,argument0769,,,trigger0208
definición de los grupos profesionales,,,ajustará a criterios y sistemas,LegalConcept,,argument0346,,,trigger0044
excepción,,,no abarca,LegalConcept,,argument0485,,,trigger0296
interposición del conflicto,,,paralizará,LegalConcept,,argument0545,,,trigger0349
comité de empresa,,,Colaborar,LegalEntity,,argument0231,,,trigger0001
contrato de trabajo,,,suspenderse,LegalConcept,,argument0286,,,trigger0649
escrito,,,consignarán,LegalConcept,,argument0472,,,trigger0079
resoluciones de la comisión paritaria,,,tendrán,LegalConcept,,argument0859,,,trigger0676
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561
asociaciones empresariales de comunidad autónoma,,,estar representadas,LegalEntity,,argument0171,,,trigger0218
cedente y el cesionario,trabajadores,información mencionada en el apartado anterior,deberán facilitar,LegalEntity,LegalAgent,argument0208,argument0933,argument0533,trigger0160
trabajadores con discapacidad,,,tendrán derecho preferente a ocupar,LegalAgent,,argument0940,,,trigger0686
cláusulas,,,pactarse,LegalConcept,,argument0221,,,trigger0347
periodo de prueba,,,concertarse,LegalConcept,,argument0739,,,trigger0068
trabajo,,,excluyen,LegalConcept,,argument0949,,,trigger0244
despido,,,considerará,LegalConcept,,argument0374,,,trigger0075
conflictos,,,resolverán,LegalConcept,,argument0265,,,trigger0505
opción,,,será,LegalConcept,,argument0702,,,trigger0610
trabajador,,,podrá tener,LegalAgent,,argument0925,,,trigger0420
grupo profesional,,,entenderá,LegalConcept,,argument0507,,,trigger0204
comisión,,,asignará,LegalConcept,,argument0224,,,trigger0049
Administración laboral,árbitros,,facilitará,LegalEntity,LegalAgent,argument0001,argument0999,,trigger0255
,,,,,,,,,
,,,,,,,,,
empresas,trabajadores,procedimientos de despidos colectivos,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0781,trigger0248
empresas,trabajadores,procedimiento concursal,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0778,trigger0248
empresas,trabajadores,cincuenta y cinco o más años de edad,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0220,trigger0248
empresas,trabajadores,condición de mutualistas el 1 de enero de 1967,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0263,trigger0248
empresas,trabajadores,cuotas destinadas a la financiación de un convenio especial,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0332,trigger0248
empresas,trabajadores,trabajadores anteriormente señalados,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0936,trigger0248
empresas,trabajadores,términos previstos en el texto refundido de la Ley General de la Seguridad Social,existirá la obligación de abonar,LegalEntity,LegalAgent,argument0456,argument0933,argument0967,trigger0248
valoración de las faltas y las correspondientes sanciones,,dirección de la empresa,serán siempre revisables,LegalConcept,,argument0986,,argument0388,trigger0638
trabajadores,,relación de trabajo,tienen derecho,LegalAgent,,argument0933,,argument0838,trigger0697
trabajadores,,percepción puntual de la remuneración pactada o legalmente establecida,tienen derecho,LegalAgent,,argument0933,,argument0735,trigger0697
situación de excedencia,,otros supuestos colectivamente acordados,podrá extenderse,LegalConcept,,argument0898,,argument0717,trigger0381
situación de excedencia,,régimen y los efectos que allí se prevean,podrá extenderse,LegalConcept,,argument0898,,argument0877,trigger0381
representación legal,trabajadores,locales,hacer uso,LegalEntity,LegalAgent,argument0846,argument0933,argument0606,trigger0275
oficina pública,organizaciones sindicales,certificaciones de los resultados electorales,podrá extender,LegalEntity,LegalEntity,argument0700,argument0706,argument0213,trigger0380
trabajadores,,,tienen derecho,LegalAgent,,argument0933,,,trigger0697
calificación,trabajador,efectos,producirá,LegalConcept,LegalAgent,argument0186,argument0925,argument0417,trigger0465
empresario,,,deberán ser tomadas en consideración,LegalAgent,,argument0449,,,trigger0176
comité de empresa,,,se determinará,LegalEntity,,argument0231,,,trigger0543
empresario y la representación de los trabajadores,,,podrán acordar,LegalEntity,,argument0454,,,trigger0424
empresario,,,deberá garantizar,LegalAgent,,argument0449,,,trigger0126
normas específicas,,contratos,Continuarán siendo de aplicación,LegalConcept,,argument0674,,argument0290,trigger0003
representantes de los trabajadores,,,tendrán prioridad de permanencia,LegalAgent,,argument0850,,,trigger0688
,,,,,,,,,
plazo,,,ha sido informado,LegalConcept,,argument0761,,,trigger0267
razones,,modificaciones sustanciales de las condiciones de trabajo,Tendrán la consideración de,LegalConcept,,argument0808,,argument0656,trigger0029
razones,,las que afecten a las siguientes materias Jornada de trabajo,Tendrán la consideración de,LegalConcept,,argument0808,,argument0586,trigger0029
El Gobierno,,las disposiciones que sean precisas para el desarrollo de esta ley,dictará,LegalEntity,,argument0016,,argument0580,trigger0189
del escrito de preaviso,la representación legal de los trabajadores,,se dará copia a,LegalConcept,LegalAgent,argument0347,argument0574,,trigger0539
Los convenios,,criterios objetivos y compromisos de conversión de los contratos de duración determinada o temporales en indefinidos,podrán establecer,LegalEntity,,argument0084,,argument0318,trigger0431
comité de empresa,,,tendrá derecho a emitir,LegalEntity,,argument0231,,,trigger0656
,,registros,,,,,,argument0827,
empresario,trabajador,,podrá verificar,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0423
Gobierno,,,podrá suprimir o reducir,LegalEntity,,argument0042,,,trigger0416
contrato de trabajo en prácticas,,,podrá concertarse,LegalConcept,,argument0287,,,trigger0367
trabajadores,,,no podrán realizar,LegalAgent,,argument0933,,,trigger0322
cesionario,,estas informaciones,estará obligado a comunicar,LegalAgent,,argument0216,,argument0478,trigger0224
comunicación,representantes legales de los trabajadores,una memoria explicativa de las causas del despido colectivo y de los restantes aspectos señalados en el párrafo anterior,deberá ir acompañada,LegalConcept,LegalAgent,argument0245,argument0853,argument0979,trigger0130
comunicación,representantes legales de los trabajadores,la documentación contable y fiscal y los informes técnicos,deberá ir acompañada,LegalConcept,LegalAgent,argument0245,argument0853,argument0565,trigger0130
comunicación,autoridad laboral,una memoria explicativa de las causas del despido colectivo y de los restantes aspectos señalados en el párrafo anterior,deberá ir acompañada,LegalConcept,LegalAgent,argument0245,argument0177,argument0979,trigger0130
comunicación,autoridad laboral,la documentación contable y fiscal y los informes técnicos,deberá ir acompañada,LegalConcept,LegalAgent,argument0245,argument0177,argument0565,trigger0130
sindicatos de comunidad autónoma,asociaciones empresariales de la comunidad autónoma,,estarán legitimados,LegalEntity,LegalEntity,argument0892,argument0172,,trigger0231
acuerdo,,mediación,tendrán,LegalConcept,,argument0135,,argument0631,trigger0676
acuerdo,,laudo arbitral,tendrán,LegalConcept,,argument0135,,argument0590,trigger0676
acuerdos y convenios colectivos,,artículo 83.2,no podrán disponer,LegalConcept,,argument0142,,argument0164,trigger0320
sujetos,,convenio colectivo,podrán negociar,LegalAgent,,argument0906,,argument0302,trigger0436
trabajador,,,conocerá,LegalAgent,,argument0925,,,trigger0069
trabajadores,,,tienen derecho,LegalAgent,,argument0933,,,trigger0697
quienes sean parte en dichos periodos de consultas,,,podrán someter,LegalAgent,,argument0806,,,trigger0446
,,,podrá ordenar,,,,,,trigger0393
organismo,créditos de los trabajadores,lista de acreedores,reconocimiento del derecho a la prestación exigirá,LegalEntity,LegalAgent,argument0703,argument0320,argument0601,trigger0497
organismo,créditos de los trabajadores,deudas de la masa,reconocimiento del derecho a la prestación exigirá,LegalEntity,LegalAgent,argument0703,argument0320,argument0379,trigger0497
autoridad laboral,,,realizar durante el periodo de consultas,LegalEntity,,argument0177,,,trigger0488
contrato de relevo,trabajador sustituido,,deberá alcanzar,LegalConcept,LegalAgent,argument0285,argument0930,,trigger0112
normas,,contenido básico de esos procedimientos de representación,respetarán,LegalConcept,,argument0672,,argument0274,trigger0507
compromisos,contratos formativos,conversión,establecerse,LegalConcept,LegalConcept,argument0243,argument0295,argument0310,trigger0215
denegación de la solicitud,trabajador,,deberá ser notificada,LegalConcept,LegalAgent,argument0355,argument0925,,trigger0147
peculiaridades,contratos para la formación y el aprendizaje,aplicación,Continuarán siendo,LegalConcept,LegalConcept,argument0733,argument0296,argument0156,trigger0002
trabajador,,,No cabrá invocar,LegalAgent,,argument0925,,,trigger0007
convenio colectivo,,,se podrán establecer,LegalConcept,,argument0302,,,trigger0585
la suspensión,adoptante,,tendrá una duración,LegalConcept,LegalAgent,argument0576,argument0146,,trigger0674
la suspensión,guardador,,tendrá una duración,LegalConcept,LegalAgent,argument0576,argument0510,,trigger0674
la suspensión,acogedor,,tendrá una duración,LegalConcept,LegalAgent,argument0576,argument0123,,trigger0674
la equiparación,,,se realizará,LegalConcept,,argument0568,,,trigger0592
Operará la compensación y absorción,los salarios,,cuando sean más favorables,LegalConcept,LegalAgent,argument0097,argument0616,,trigger0099
comité de empresa,,,tendrá,LegalEntity,,argument0231,,,trigger0651
delegados de personal y los miembros del comité de empresa,,,elegirán,LegalEntity,,argument0349,,,trigger0202
derechos,,,se podrán ejercitar,LegalConcept,,argument0365,,,trigger0584
,,,,,,,,,
empresario,,,no podrá ser tomada,LegalAgent,,argument0449,,,trigger0318
árbitros,,,deberán abstenerse,LegalAgent,,argument0999,,,trigger0151
trabajadores a distancia,,,tendrán,LegalAgent,,argument0934,,,trigger0676
partes,,,podrán adoptar,LegalAgent,,argument0728,,,trigger0425
árbitros,,,será,LegalAgent,,argument0999,,,trigger0610
,,,,,,,,,
trabajadores,,,tendrán,LegalAgent,,argument0933,,,trigger0676
trabajador,,,tendrán derecho a percibir,LegalAgent,,argument0925,,,trigger0683
oficina pública,,registro,procederá,LegalEntity,,argument0700,,argument0822,trigger0459
los trabajadores y empresarios,,,podrán regular,LegalEntity,,argument0620,,,trigger0440
El periodo de vacaciones anuales retribuidas,,,será,LegalConcept,,argument0027,,,trigger0610
Los convenios colectivos,,,podrán establecer,LegalConcept,,argument0085,,,trigger0431
intervención,comité de empresa,,se regirá,LegalConcept,LegalEntity,argument0547,argument0231,,trigger0593
intervención,delegados de personal,,se regirá,LegalConcept,LegalEntity,argument0547,argument0348,,trigger0593
excedencia,,,constituye,LegalConcept,,argument0483,,,trigger0083
Gobierno,,,fijará,LegalEntity,,argument0042,,,trigger0257
trabajadores,,,tendrán derecho,LegalAgent,,argument0933,,,trigger0677
contrato de trabajo,,,extinguirse,LegalConcept,,argument0286,,,trigger0253
trabajador,,,tendrá derecho,LegalAgent,,argument0925,,,trigger0652
impugnación,,,tramitará,LegalConcept,,argument0519,,,trigger0703
secciones sindicales,,,estarán legitimadas,LegalConcept,,argument0886,,,trigger0229
empresario,trabajadores,,supongan un trato desfavorable,LegalAgent,LegalAgent,argument0449,argument0933,,trigger0647
Estos acuerdos y laudos,,,serán susceptibles de impugnación,LegalConcept,,argument0038,,,trigger0639
